"","coords","all","natural","current","threatened","missing"
"1","-9117952.725_7300124.52112676",7,6,6,2,1
"2","-9021466.45277778_7300124.52112676",7,6,6,2,1
"3","-8924980.18055556_7300124.52112676",7,6,6,2,1
"4","-8732007.63611111_7300124.52112676",8,7,8,2,0
"5","-8635521.36388889_7300124.52112676",8,7,8,2,0
"6","-8539035.09166667_7300124.52112676",8,7,8,2,0
"7","-8442548.81944444_7300124.52112676",8,7,8,2,0
"8","-8346062.54722222_7300124.52112676",8,7,8,2,0
"9","-8249576.275_7300124.52112676",8,7,8,2,0
"10","-8153090.00277778_7300124.52112676",8,7,8,2,0
"11","-8056603.73055555_7300124.52112676",8,7,8,2,0
"12","-7960117.45833333_7300124.52112676",8,7,8,2,0
"13","-7863631.18611111_7300124.52112676",7,6,7,2,0
"14","-7767144.91388889_7300124.52112676",7,6,7,2,0
"15","-7670658.64166667_7300124.52112676",8,7,8,2,0
"16","-7574172.36944444_7300124.52112676",8,7,8,2,0
"17","-7477686.09722222_7300124.52112676",8,7,8,2,0
"18","-7381199.825_7300124.52112676",8,7,8,2,0
"19","-7284713.55277778_7300124.52112676",7,6,7,2,0
"20","-7188227.28055556_7300124.52112676",7,6,7,2,0
"21","-7091741.00833333_7300124.52112676",7,6,7,2,0
"22","-6995254.73611111_7300124.52112676",7,6,7,2,0
"23","-6898768.46388889_7300124.52112676",7,6,6,2,1
"24","-6802282.19166667_7300124.52112676",9,8,8,2,1
"25","-6705795.91944444_7300124.52112676",9,8,8,2,1
"26","-6609309.64722222_7300124.52112676",9,8,8,2,1
"27","-6512823.375_7300124.52112676",9,8,8,2,1
"28","-6416337.10277778_7300124.52112676",9,8,8,2,1
"29","-6319850.83055556_7300124.52112676",9,8,8,2,1
"30","-6223364.55833333_7300124.52112676",9,8,8,2,1
"31","-6126878.28611111_7300124.52112676",9,8,8,2,1
"32","-6030392.01388889_7300124.52112676",9,8,8,2,1
"33","-5933905.74166667_7300124.52112676",9,8,8,2,1
"34","-5837419.46944444_7300124.52112676",7,6,6,1,1
"35","-5740933.19722222_7300124.52112676",5,4,4,1,1
"36","-5644446.925_7300124.52112676",5,4,4,1,1
"37","-5547960.65277778_7300124.52112676",6,5,5,1,1
"38","-5451474.38055556_7300124.52112676",6,5,5,1,1
"39","-5354988.10833333_7300124.52112676",6,5,5,1,1
"40","-5258501.83611111_7300124.52112676",6,5,5,1,1
"41","-5162015.56388889_7300124.52112676",6,5,5,1,1
"42","-5065529.29166667_7300124.52112676",6,5,5,1,1
"43","-4969043.01944445_7300124.52112676",6,5,5,1,1
"44","-4872556.74722222_7300124.52112676",6,5,5,1,1
"45","-4776070.475_7300124.52112676",6,5,5,1,1
"46","-4679584.20277778_7300124.52112676",6,5,5,1,1
"47","-4583097.93055556_7300124.52112676",6,5,5,1,1
"48","-4486611.65833333_7300124.52112676",6,5,5,1,1
"49","-4390125.38611111_7300124.52112676",6,5,5,1,1
"50","-4293639.11388889_7300124.52112676",6,5,5,1,1
"51","-4197152.84166667_7300124.52112676",6,5,5,1,1
"52","-4100666.56944444_7300124.52112676",6,5,5,1,1
"53","-4004180.29722222_7300124.52112676",6,5,5,1,1
"54","-3907694.025_7300124.52112676",6,5,5,1,1
"55","-3811207.75277778_7300124.52112676",6,5,5,1,1
"56","-3714721.48055555_7300124.52112676",6,5,4,1,2
"57","-3618235.20833333_7300124.52112676",6,5,4,1,2
"58","-3521748.93611111_7300124.52112676",6,5,4,1,2
"59","-3425262.66388889_7300124.52112676",6,5,4,1,2
"60","-3328776.39166667_7300124.52112676",6,5,4,1,2
"61","-3232290.11944444_7300124.52112676",6,5,4,1,2
"62","-3135803.84722222_7300124.52112676",6,5,4,1,2
"63","-3039317.575_7300124.52112676",6,5,4,1,2
"64","-2942831.30277778_7300124.52112676",6,5,4,1,2
"65","-2846345.03055556_7300124.52112676",6,5,4,1,2
"66","-2749858.75833333_7300124.52112676",6,5,4,1,2
"67","-2653372.48611111_7300124.52112676",6,5,4,1,2
"68","-2556886.21388889_7300124.52112676",6,5,4,1,2
"69","-2460399.94166667_7300124.52112676",6,5,4,1,2
"70","-2363913.66944444_7300124.52112676",6,5,4,1,2
"71","-2267427.39722222_7300124.52112676",6,5,4,1,2
"72","-2170941.125_7300124.52112676",6,5,4,1,2
"73","-2074454.85277778_7300124.52112676",6,5,4,1,2
"74","-1977968.58055556_7300124.52112676",6,5,4,1,2
"75","-1881482.30833333_7300124.52112676",5,4,3,1,2
"76","-1784996.03611111_7300124.52112676",6,5,4,1,2
"77","-1688509.76388889_7300124.52112676",6,5,4,1,2
"78","-1592023.49166667_7300124.52112676",6,5,4,1,2
"79","-1495537.21944444_7300124.52112676",6,5,4,1,2
"80","-1399050.94722222_7300124.52112676",7,6,5,2,2
"81","-1302564.675_7300124.52112676",9,8,7,2,2
"82","-1206078.40277778_7300124.52112676",9,8,7,2,2
"83","-11530109.5305556_7203609.56338028",7,6,6,2,1
"84","-11433623.2583333_7203609.56338028",7,6,6,2,1
"85","-11337136.9861111_7203609.56338028",7,6,6,2,1
"86","-11240650.7138889_7203609.56338028",7,6,6,2,1
"87","-11144164.4416667_7203609.56338028",7,6,6,2,1
"88","-11047678.1694444_7203609.56338028",6,5,6,2,0
"89","-10951191.8972222_7203609.56338028",6,5,6,2,0
"90","-10854705.625_7203609.56338028",6,5,6,2,0
"91","-10758219.3527778_7203609.56338028",6,5,6,2,0
"92","-10661733.0805556_7203609.56338028",6,5,6,2,0
"93","-10565246.8083333_7203609.56338028",6,5,6,2,0
"94","-10275787.9916667_7203609.56338028",6,5,6,2,0
"95","-10179301.7194444_7203609.56338028",6,5,6,2,0
"96","-10082815.4472222_7203609.56338028",6,5,6,2,0
"97","-9986329.175_7203609.56338028",5,4,5,2,0
"98","-9889842.90277778_7203609.56338028",5,4,5,2,0
"99","-9793356.63055556_7203609.56338028",5,4,5,2,0
"100","-9696870.35833333_7203609.56338028",6,5,6,2,0
"101","-9600384.08611111_7203609.56338028",6,5,6,2,0
"102","-9503897.81388889_7203609.56338028",6,5,6,2,0
"103","-9407411.54166667_7203609.56338028",6,5,6,2,0
"104","-9310925.26944444_7203609.56338028",8,7,7,3,1
"105","-9214438.99722222_7203609.56338028",8,7,7,3,1
"106","-9117952.725_7203609.56338028",8,7,7,3,1
"107","-9021466.45277778_7203609.56338028",8,7,7,3,1
"108","-8924980.18055556_7203609.56338028",8,7,7,3,1
"109","-8828493.90833333_7203609.56338028",8,7,7,3,1
"110","-8732007.63611111_7203609.56338028",9,8,9,3,0
"111","-8635521.36388889_7203609.56338028",9,8,9,3,0
"112","-8539035.09166667_7203609.56338028",8,7,8,2,0
"113","-8442548.81944444_7203609.56338028",8,7,8,2,0
"114","-8346062.54722222_7203609.56338028",8,7,8,2,0
"115","-8249576.275_7203609.56338028",8,7,8,2,0
"116","-8153090.00277778_7203609.56338028",8,7,8,2,0
"117","-8056603.73055555_7203609.56338028",8,7,8,2,0
"118","-7960117.45833333_7203609.56338028",10,9,10,3,0
"119","-7863631.18611111_7203609.56338028",10,9,10,3,0
"120","-7767144.91388889_7203609.56338028",10,9,10,3,0
"121","-7670658.64166667_7203609.56338028",10,9,10,3,0
"122","-7574172.36944444_7203609.56338028",10,9,10,3,0
"123","-7477686.09722222_7203609.56338028",10,9,10,3,0
"124","-7381199.825_7203609.56338028",10,9,10,3,0
"125","-7284713.55277778_7203609.56338028",10,9,10,3,0
"126","-7188227.28055556_7203609.56338028",10,9,10,3,0
"127","-7091741.00833333_7203609.56338028",10,9,9,3,1
"128","-6995254.73611111_7203609.56338028",10,9,10,3,0
"129","-6898768.46388889_7203609.56338028",10,9,10,3,0
"130","-6802282.19166667_7203609.56338028",10,9,10,3,0
"131","-6705795.91944444_7203609.56338028",10,9,10,3,0
"132","-6609309.64722222_7203609.56338028",10,9,10,3,0
"133","-6512823.375_7203609.56338028",10,9,10,3,0
"134","-6416337.10277778_7203609.56338028",10,9,10,3,0
"135","-6319850.83055556_7203609.56338028",7,6,7,2,0
"136","-6223364.55833333_7203609.56338028",7,6,7,2,0
"137","-6126878.28611111_7203609.56338028",7,6,6,1,1
"138","-6030392.01388889_7203609.56338028",7,6,6,1,1
"139","-5933905.74166667_7203609.56338028",4,3,3,1,1
"140","-5837419.46944444_7203609.56338028",4,3,3,1,1
"141","-5740933.19722222_7203609.56338028",4,3,3,1,1
"142","-5644446.925_7203609.56338028",3,2,3,1,0
"143","-5547960.65277778_7203609.56338028",3,2,3,1,0
"144","-5451474.38055556_7203609.56338028",3,2,3,1,0
"145","-5354988.10833333_7203609.56338028",3,2,3,1,0
"146","-5258501.83611111_7203609.56338028",3,2,3,1,0
"147","-5162015.56388889_7203609.56338028",3,2,3,1,0
"148","-5065529.29166667_7203609.56338028",3,2,3,1,0
"149","-4969043.01944445_7203609.56338028",3,2,3,1,0
"150","-4872556.74722222_7203609.56338028",3,2,3,1,0
"151","-4776070.475_7203609.56338028",3,2,3,1,0
"152","-4679584.20277778_7203609.56338028",3,2,3,1,0
"153","-4583097.93055556_7203609.56338028",3,2,3,1,0
"154","-4486611.65833333_7203609.56338028",3,2,3,1,0
"155","-4390125.38611111_7203609.56338028",3,2,3,1,0
"156","-4293639.11388889_7203609.56338028",1,0,1,0,0
"157","-4197152.84166667_7203609.56338028",1,0,1,0,0
"158","-4100666.56944444_7203609.56338028",1,0,1,0,0
"159","-4004180.29722222_7203609.56338028",1,0,1,0,0
"160","-3907694.025_7203609.56338028",1,0,1,0,0
"161","-3811207.75277778_7203609.56338028",1,0,1,0,0
"162","-3714721.48055555_7203609.56338028",2,1,2,1,0
"163","-3618235.20833333_7203609.56338028",2,1,2,1,0
"164","-3521748.93611111_7203609.56338028",2,1,2,1,0
"165","-3425262.66388889_7203609.56338028",2,1,2,1,0
"166","-3328776.39166667_7203609.56338028",2,1,2,1,0
"167","-3232290.11944444_7203609.56338028",2,1,2,1,0
"168","-3135803.84722222_7203609.56338028",2,1,2,1,0
"169","-3039317.575_7203609.56338028",2,1,2,1,0
"170","-2942831.30277778_7203609.56338028",2,1,2,1,0
"171","-2846345.03055556_7203609.56338028",5,4,3,1,2
"172","-2749858.75833333_7203609.56338028",5,4,3,1,2
"173","-2653372.48611111_7203609.56338028",5,4,3,1,2
"174","-2556886.21388889_7203609.56338028",5,4,3,1,2
"175","-2460399.94166667_7203609.56338028",5,4,3,1,2
"176","-2363913.66944444_7203609.56338028",5,4,3,1,2
"177","-2267427.39722222_7203609.56338028",6,5,4,1,2
"178","-2170941.125_7203609.56338028",6,5,4,1,2
"179","-2074454.85277778_7203609.56338028",10,9,8,3,2
"180","-1977968.58055556_7203609.56338028",10,9,8,3,2
"181","-1881482.30833333_7203609.56338028",10,9,8,3,2
"182","-1784996.03611111_7203609.56338028",10,9,8,3,2
"183","-1688509.76388889_7203609.56338028",10,9,8,3,2
"184","-1592023.49166667_7203609.56338028",10,9,8,3,2
"185","-1495537.21944444_7203609.56338028",10,9,8,3,2
"186","-1399050.94722222_7203609.56338028",10,9,8,3,2
"187","1013105.85833333_7203609.56338028",9,8,9,4,0
"188","1109592.13055556_7203609.56338028",9,8,9,4,0
"189","1206078.40277778_7203609.56338028",9,8,9,4,0
"190","1302564.675_7203609.56338028",9,8,9,4,0
"191","1399050.94722222_7203609.56338028",9,8,9,4,0
"192","1495537.21944444_7203609.56338028",9,8,9,4,0
"193","1592023.49166667_7203609.56338028",9,8,9,4,0
"194","1688509.76388889_7203609.56338028",9,8,9,4,0
"195","1784996.03611111_7203609.56338028",8,7,8,4,0
"196","1881482.30833333_7203609.56338028",8,7,8,4,0
"197","1977968.58055555_7203609.56338028",8,7,8,4,0
"198","2074454.85277778_7203609.56338028",8,7,8,4,0
"199","2170941.125_7203609.56338028",8,7,8,4,0
"200","2267427.39722222_7203609.56338028",8,7,8,4,0
"201","2556886.21388889_7203609.56338028",8,7,8,4,0
"202","2653372.48611111_7203609.56338028",8,7,8,4,0
"203","9600384.08611111_7203609.56338028",7,6,7,3,0
"204","9696870.35833333_7203609.56338028",7,6,7,3,0
"205","9793356.63055556_7203609.56338028",16,15,9,3,4
"206","9889842.90277778_7203609.56338028",16,15,9,3,4
"207","9986329.175_7203609.56338028",16,15,9,3,4
"208","10082815.4472222_7203609.56338028",15,14,8,3,4
"209","10179301.7194444_7203609.56338028",15,14,8,3,4
